|       t |         S |         I |         R |
|      54 |   101.181 |    134.51 |   263.804 |
|    54.1 |    101.18 |   134.562 |   263.906 |
|    54.2 |    101.18 |   134.613 |   264.009 |
|    54.3 |    101.18 |   134.664 |   264.111 |
|    54.4 |   101.179 |   134.715 |   264.214 |
|    54.5 |   101.179 |   134.766 |   264.316 |
|    54.6 |   101.178 |   134.817 |   264.418 |
|    54.7 |   101.178 |   134.868 |    264.52 |
|    54.8 |   101.178 |   134.919 |   264.622 |
|    54.9 |   101.177 |    134.97 |   264.725 |
|      55 |   101.177 |   135.021 |   264.826 |
|    55.1 |   101.176 |   135.072 |   264.928 |
|    55.2 |   101.176 |   135.123 |    265.03 |
|    55.3 |   101.176 |   135.174 |   265.132 |
|    55.4 |   101.175 |   135.224 |   265.234 |
|    55.5 |   101.175 |   135.275 |   265.335 |
|    55.6 |   101.174 |   135.326 |   265.437 |
|    55.7 |   101.174 |   135.377 |   265.538 |
|    55.8 |   101.174 |   135.427 |    265.64 |
|    55.9 |   101.173 |   135.478 |   265.741 |
|      56 |   101.173 |   135.528 |   265.842 |
|    56.1 |   101.173 |   135.579 |   265.944 |
|    56.2 |   101.172 |   135.629 |   266.045 |
|    56.3 |   101.172 |    135.68 |   266.146 |
|    56.4 |   101.171 |    135.73 |   266.247 |
|    56.5 |   101.171 |   135.781 |   266.348 |
|    56.6 |   101.171 |   135.831 |   266.449 |
|    56.7 |    101.17 |   135.881 |   266.549 |
|    56.8 |    101.17 |   135.932 |    266.65 |
|    56.9 |   101.169 |   135.982 |   266.751 |
|      57 |   101.169 |   136.032 |   266.852 |
|    57.1 |   101.169 |   136.082 |   266.952 |
|    57.2 |   101.168 |   136.133 |   267.053 |
|    57.3 |   101.168 |   136.183 |   267.153 |
|    57.4 |   101.168 |   136.233 |   267.253 |
|    57.5 |   101.167 |   136.283 |   267.354 |
|    57.6 |   101.167 |   136.333 |   267.454 |
|    57.7 |   101.166 |   136.383 |   267.554 |
|    57.8 |   101.166 |   136.433 |   267.654 |
|    57.9 |   101.166 |   136.483 |   267.754 |
|      58 |   101.165 |   136.533 |   267.854 |
|    58.1 |   101.165 |   136.583 |   267.954 |
|    58.2 |   101.164 |   136.633 |   268.054 |
|    58.3 |   101.164 |   136.682 |   268.153 |
|    58.4 |   101.164 |   136.732 |   268.253 |
|    58.5 |   101.163 |   136.782 |   268.353 |
|    58.6 |   101.163 |   136.832 |   268.452 |
|    58.7 |   101.163 |   136.881 |   268.552 |
|    58.8 |   101.162 |   136.931 |   268.651 |
|    58.9 |   101.162 |    136.98 |    268.75 |
|      59 |   101.161 |    137.03 |    268.85 |
|    59.1 |   101.161 |    137.08 |   268.949 |
|    59.2 |   101.161 |   137.129 |   269.048 |
|    59.3 |    101.16 |   137.178 |   269.147 |
|    59.4 |    101.16 |   137.228 |   269.246 |
|    59.5 |    101.16 |   137.277 |   269.345 |
|    59.6 |   101.159 |   137.327 |   269.444 |
|    59.7 |   101.159 |   137.376 |   269.543 |
|    59.8 |   101.159 |   137.425 |   269.641 |
|    59.9 |   101.158 |   137.475 |    269.74 |
|      60 |   101.158 |   137.524 |   269.839 |
|    60.1 |   101.157 |   137.573 |   269.937 |
|    60.2 |   101.157 |   137.622 |   270.036 |
|    60.3 |   101.157 |   137.671 |   270.134 |
|    60.4 |   101.156 |    137.72 |   270.233 |
|    60.5 |   101.156 |    137.77 |   270.331 |
|    60.6 |   101.156 |   137.819 |   270.429 |
|    60.7 |   101.155 |   137.868 |   270.527 |
|    60.8 |   101.155 |   137.917 |   270.625 |
|    60.9 |   101.155 |   137.966 |   270.723 |
|      61 |   101.154 |   138.014 |   270.821 |
|    61.1 |   101.154 |   138.063 |   270.919 |
|    61.2 |   101.153 |   138.112 |   271.017 |
|    61.3 |   101.153 |   138.161 |   271.115 |
|    61.4 |   101.153 |    138.21 |   271.212 |
|    61.5 |   101.152 |   138.258 |    271.31 |
|    61.6 |   101.152 |   138.307 |   271.408 |
|    61.7 |   101.152 |   138.356 |   271.505 |
|    61.8 |   101.151 |   138.405 |   271.602 |
|    61.9 |   101.151 |   138.453 |     271.7 |
|      62 |   101.151 |   138.502 |   271.797 |
|    62.1 |    101.15 |    138.55 |   271.894 |
|    62.2 |    101.15 |   138.599 |   271.992 |
|    62.3 |   101.149 |   138.647 |   272.089 |
|    62.4 |   101.149 |   138.696 |   272.186 |
|    62.5 |   101.149 |   138.744 |   272.283 |
|    62.6 |   101.148 |   138.793 |    272.38 |
|    62.7 |   101.148 |   138.841 |   272.476 |
|    62.8 |   101.148 |   138.889 |   272.573 |
|    62.9 |   101.147 |   138.938 |    272.67 |
|      63 |   101.147 |   138.986 |   272.767 |
|    63.1 |   101.147 |   139.034 |   272.863 |
|    63.2 |   101.146 |   139.082 |    272.96 |
|    63.3 |   101.146 |    139.13 |   273.056 |
|    63.4 |   101.146 |   139.178 |   273.153 |
|    63.5 |   101.145 |   139.227 |   273.249 |
|    63.6 |   101.145 |   139.275 |   273.345 |
|    63.7 |   101.145 |   139.323 |   273.441 |
|    63.8 |   101.144 |   139.371 |   273.537 |
|    63.9 |   101.144 |   139.419 |   273.634 |
|      64 |   101.143 |   139.467 |    273.73 |
|    64.1 |   101.143 |   139.515 |   273.826 |
|    64.2 |   101.143 |   139.562 |   273.921 |
|    64.3 |   101.142 |    139.61 |   274.017 |
|    64.4 |   101.142 |   139.658 |   274.113 |
|    64.5 |   101.142 |   139.706 |   274.209 |
|    64.6 |   101.141 |   139.754 |   274.304 |
|    64.7 |   101.141 |   139.801 |     274.4 |
|    64.8 |   101.141 |   139.849 |   274.495 |
|    64.9 |    101.14 |   139.897 |   274.591 |
|      65 |    101.14 |   139.944 |   274.686 |
|    65.1 |    101.14 |   139.992 |   274.781 |
|    65.2 |   101.139 |   140.039 |   274.877 |
|    65.3 |   101.139 |   140.087 |   274.972 |
|    65.4 |   101.139 |   140.134 |   275.067 |
|    65.5 |   101.138 |   140.182 |   275.162 |
|    65.6 |   101.138 |   140.229 |   275.257 |
|    65.7 |   101.138 |   140.277 |   275.352 |
|    65.8 |   101.137 |   140.324 |   275.447 |
|    65.9 |   101.137 |   140.371 |   275.542 |
|      66 |   101.137 |   140.419 |   275.636 |
|    66.1 |   101.136 |   140.466 |   275.731 |
|    66.2 |   101.136 |   140.513 |   275.826 |
|    66.3 |   101.136 |    140.56 |    275.92 |
|    66.4 |   101.135 |   140.608 |   276.015 |
|    66.5 |   101.135 |   140.655 |   276.109 |
|    66.6 |   101.135 |   140.702 |   276.203 |
|    66.7 |   101.134 |   140.749 |   276.298 |
|    66.8 |   101.134 |   140.796 |   276.392 |
|    66.9 |   101.134 |   140.843 |   276.486 |
|      67 |   101.133 |    140.89 |    276.58 |
|    67.1 |   101.133 |   140.937 |   276.674 |
|    67.2 |   101.133 |   140.984 |   276.768 |
|    67.3 |   101.132 |   141.031 |   276.862 |
|    67.4 |   101.132 |   141.078 |   276.956 |
|    67.5 |   101.132 |   141.124 |    277.05 |
|    67.6 |   101.131 |   141.171 |   277.143 |
|    67.7 |   101.131 |   141.218 |   277.237 |
|    67.8 |   101.131 |   141.265 |   277.331 |
|    67.9 |    101.13 |   141.311 |   277.424 |
|      68 |    101.13 |   141.358 |   277.518 |
|    68.1 |    101.13 |   141.405 |   277.611 |
|    68.2 |   101.129 |   141.451 |   277.704 |
|    68.3 |   101.129 |   141.498 |   277.798 |
|    68.4 |   101.129 |   141.544 |   277.891 |
|    68.5 |   101.128 |   141.591 |   277.984 |
|    68.6 |   101.128 |   141.637 |   278.077 |
|    68.7 |   101.128 |   141.684 |    278.17 |
|    68.8 |   101.127 |    141.73 |   278.263 |
|    68.9 |   101.127 |   141.777 |   278.356 |
|      69 |   101.127 |   141.823 |   278.449 |
|    69.1 |   101.126 |   141.869 |   278.542 |
|    69.2 |   101.126 |   141.916 |   278.635 |
|    69.3 |   101.126 |   141.962 |   278.727 |
|    69.4 |   101.125 |   142.008 |    278.82 |
|    69.5 |   101.125 |   142.054 |   278.912 |
|    69.6 |   101.125 |   142.101 |   279.005 |
|    69.7 |   101.124 |   142.147 |   279.097 |
|    69.8 |   101.124 |   142.193 |    279.19 |
|    69.9 |   101.124 |   142.239 |   279.282 |
|      70 |   101.123 |   142.285 |   279.374 |
|    70.1 |   101.123 |   142.331 |   279.466 |
|    70.2 |   101.123 |   142.377 |   279.558 |
|    70.3 |   101.122 |   142.423 |    279.65 |
|    70.4 |   101.122 |   142.469 |   279.742 |
|    70.5 |   101.122 |   142.515 |   279.834 |
|    70.6 |   101.122 |   142.561 |   279.926 |
|    70.7 |   101.121 |   142.607 |   280.018 |
|    70.8 |   101.121 |   142.652 |    280.11 |
|    70.9 |   101.121 |   142.698 |   280.201 |
|      71 |    101.12 |   142.744 |   280.293 |
|    71.1 |    101.12 |    142.79 |   280.385 |
|    71.2 |    101.12 |   142.835 |   280.476 |
|    71.3 |   101.119 |   142.881 |   280.568 |
|    71.4 |   101.119 |   142.927 |   280.659 |
|    71.5 |   101.119 |   142.972 |    280.75 |
|    71.6 |   101.118 |   143.018 |   280.842 |
|    71.7 |   101.118 |   143.063 |   280.933 |
|    71.8 |   101.118 |   143.109 |   281.024 |
|    71.9 |   101.117 |   143.154 |   281.115 |
|      72 |   101.117 |     143.2 |   281.206 |
|    72.1 |   101.117 |   143.245 |   281.297 |
|    72.2 |   101.116 |    143.29 |   281.388 |
|    72.3 |   101.116 |   143.336 |   281.479 |
|    72.4 |   101.116 |   143.381 |   281.569 |
|    72.5 |   101.116 |   143.426 |    281.66 |
|    72.6 |   101.115 |   143.472 |   281.751 |
|    72.7 |   101.115 |   143.517 |   281.841 |
|    72.8 |   101.115 |   143.562 |   281.932 |
|    72.9 |   101.114 |   143.607 |   282.022 |
|      73 |   101.114 |   143.652 |   282.113 |
|    73.1 |   101.114 |   143.698 |   282.203 |
|    73.2 |   101.113 |   143.743 |   282.293 |
|    73.3 |   101.113 |   143.788 |   282.384 |
|    73.4 |   101.113 |   143.833 |   282.474 |
|    73.5 |   101.112 |   143.878 |   282.564 |
|    73.6 |   101.112 |   143.923 |   282.654 |
|    73.7 |   101.112 |   143.968 |   282.744 |
|    73.8 |   101.112 |   144.012 |   282.834 |
|    73.9 |   101.111 |   144.057 |   282.924 |
|      74 |   101.111 |   144.102 |   283.013 |
|    74.1 |   101.111 |   144.147 |   283.103 |
|    74.2 |    101.11 |   144.192 |   283.193 |
|    74.3 |    101.11 |   144.236 |   283.282 |
|    74.4 |    101.11 |   144.281 |   283.372 |
|    74.5 |   101.109 |   144.326 |   283.461 |
|    74.6 |   101.109 |   144.371 |   283.551 |
|    74.7 |   101.109 |   144.415 |    283.64 |
|    74.8 |   101.109 |    144.46 |    283.73 |
|    74.9 |   101.108 |   144.504 |   283.819 |
|      75 |   101.108 |   144.549 |   283.908 |
|    75.1 |   101.108 |   144.593 |   283.997 |
|    75.2 |   101.107 |   144.638 |   284.086 |
|    75.3 |   101.107 |   144.682 |   284.175 |
|    75.4 |   101.107 |   144.727 |   284.264 |
|    75.5 |   101.106 |   144.771 |   284.353 |
|    75.6 |   101.106 |   144.816 |   284.442 |
|    75.7 |   101.106 |    144.86 |   284.531 |
|    75.8 |   101.106 |   144.904 |    284.62 |
|    75.9 |   101.105 |   144.948 |   284.708 |
|      76 |   101.105 |   144.993 |   284.797 |
|    76.1 |   101.105 |   145.037 |   284.885 |
|    76.2 |   101.104 |   145.081 |   284.974 |
|    76.3 |   101.104 |   145.125 |   285.062 |
|    76.4 |   101.104 |   145.169 |   285.151 |
|    76.5 |   101.103 |   145.213 |   285.239 |
|    76.6 |   101.103 |   145.258 |   285.327 |
|    76.7 |   101.103 |   145.302 |   285.415 |
|    76.8 |   101.103 |   145.346 |   285.504 |
|    76.9 |   101.102 |    145.39 |   285.592 |
|      77 |   101.102 |   145.433 |    285.68 |
|    77.1 |   101.102 |   145.477 |   285.768 |
|    77.2 |   101.101 |   145.521 |   285.855 |
|    77.3 |   101.101 |   145.565 |   285.943 |
|    77.4 |   101.101 |   145.609 |   286.031 |
|    77.5 |   101.101 |   145.653 |   286.119 |
|    77.6 |     101.1 |   145.697 |   286.206 |
|    77.7 |     101.1 |    145.74 |   286.294 |
|    77.8 |     101.1 |   145.784 |   286.382 |
|    77.9 |   101.099 |   145.828 |   286.469 |
|      78 |   101.099 |   145.871 |   286.557 |
|    78.1 |   101.099 |   145.915 |   286.644 |
|    78.2 |   101.098 |   145.959 |   286.731 |
|    78.3 |   101.098 |   146.002 |   286.819 |
|    78.4 |   101.098 |   146.046 |   286.906 |
|    78.5 |   101.098 |   146.089 |   286.993 |
|    78.6 |   101.097 |   146.133 |    287.08 |
|    78.7 |   101.097 |   146.176 |   287.167 |
|    78.8 |   101.097 |    146.22 |   287.254 |
|    78.9 |   101.096 |   146.263 |   287.341 |
|      79 |   101.096 |   146.306 |   287.428 |
|    79.1 |   101.096 |    146.35 |   287.514 |
|    79.2 |   101.096 |   146.393 |   287.601 |
|    79.3 |   101.095 |   146.436 |   287.688 |
|    79.4 |   101.095 |   146.479 |   287.774 |
|    79.5 |   101.095 |   146.523 |   287.861 |
|    79.6 |   101.094 |   146.566 |   287.948 |
|    79.7 |   101.094 |   146.609 |   288.034 |
|    79.8 |   101.094 |   146.652 |    288.12 |
|    79.9 |   101.094 |   146.695 |   288.207 |
|      80 |   101.093 |   146.738 |   288.293 |
|    80.1 |   101.093 |   146.781 |   288.379 |
|    80.2 |   101.093 |   146.824 |   288.465 |
|    80.3 |   101.093 |   146.867 |   288.551 |
|    80.4 |   101.092 |    146.91 |   288.637 |
|    80.5 |   101.092 |   146.953 |   288.723 |
|    80.6 |   101.092 |   146.996 |   288.809 |
|    80.7 |   101.091 |   147.039 |   288.895 |
|    80.8 |   101.091 |   147.082 |   288.981 |
|    80.9 |   101.091 |   147.125 |   289.067 |
|      81 |   101.091 |   147.168 |   289.152 |
|    81.1 |    101.09 |    147.21 |   289.238 |
|    81.2 |    101.09 |   147.253 |   289.324 |
|    81.3 |    101.09 |   147.296 |   289.409 |
|    81.4 |   101.089 |   147.338 |   289.495 |
|    81.5 |   101.089 |   147.381 |    289.58 |
|    81.6 |   101.089 |   147.424 |   289.665 |
|    81.7 |   101.089 |   147.466 |   289.751 |
|    81.8 |   101.088 |   147.509 |   289.836 |
|    81.9 |   101.088 |   147.551 |   289.921 |
|      82 |   101.088 |   147.594 |   290.006 |
|    82.1 |   101.088 |   147.636 |   290.091 |
|    82.2 |   101.087 |   147.679 |   290.176 |
|    82.3 |   101.087 |   147.721 |   290.261 |
|    82.4 |   101.087 |   147.764 |   290.346 |
|    82.5 |   101.086 |   147.806 |   290.431 |
|    82.6 |   101.086 |   147.848 |   290.516 |
|    82.7 |   101.086 |   147.891 |   290.601 |
|    82.8 |   101.086 |   147.933 |   290.685 |
|    82.9 |   101.085 |   147.975 |    290.77 |
|      83 |   101.085 |   148.017 |   290.854 |
|    83.1 |   101.085 |    148.06 |   290.939 |
|    83.2 |   101.085 |   148.102 |   291.023 |
|    83.3 |   101.084 |   148.144 |   291.108 |
|    83.4 |   101.084 |   148.186 |   291.192 |
|    83.5 |   101.084 |   148.228 |   291.276 |
|    83.6 |   101.083 |    148.27 |   291.361 |
|    83.7 |   101.083 |   148.312 |   291.445 |
|    83.8 |   101.083 |   148.354 |   291.529 |
|    83.9 |   101.083 |   148.396 |   291.613 |
|      84 |   101.082 |   148.438 |   291.697 |
|    84.1 |   101.082 |    148.48 |   291.781 |
|    84.2 |   101.082 |   148.522 |   291.865 |
|    84.3 |   101.082 |   148.564 |   291.949 |
|    84.4 |   101.081 |   148.605 |   292.032 |
|    84.5 |   101.081 |   148.647 |   292.116 |
|    84.6 |   101.081 |   148.689 |     292.2 |
|    84.7 |    101.08 |   148.731 |   292.283 |
|    84.8 |    101.08 |   148.773 |   292.367 |
|    84.9 |    101.08 |   148.814 |    292.45 |
|      85 |    101.08 |   148.856 |   292.534 |
|    85.1 |   101.079 |   148.898 |   292.617 |
|    85.2 |   101.079 |   148.939 |     292.7 |
|    85.3 |   101.079 |   148.981 |   292.784 |
|    85.4 |   101.079 |   149.022 |   292.867 |
|    85.5 |   101.078 |   149.064 |    292.95 |
|    85.6 |   101.078 |   149.105 |   293.033 |
|    85.7 |   101.078 |   149.147 |   293.116 |
|    85.8 |   101.078 |   149.188 |   293.199 |
|    85.9 |   101.077 |    149.23 |   293.282 |
|      86 |   101.077 |   149.271 |   293.365 |
|    86.1 |   101.077 |   149.312 |   293.448 |
|    86.2 |   101.077 |   149.354 |   293.531 |
|    86.3 |   101.076 |   149.395 |   293.613 |
|    86.4 |   101.076 |   149.436 |   293.696 |
|    86.5 |   101.076 |   149.477 |   293.779 |
|    86.6 |   101.075 |   149.519 |   293.861 |
|    86.7 |   101.075 |    149.56 |   293.944 |
|    86.8 |   101.075 |   149.601 |   294.026 |
|    86.9 |   101.075 |   149.642 |   294.108 |
|      87 |   101.074 |   149.683 |   294.191 |
|    87.1 |   101.074 |   149.724 |   294.273 |
|    87.2 |   101.074 |   149.765 |   294.355 |
|    87.3 |   101.074 |   149.806 |   294.437 |
|    87.4 |   101.073 |   149.847 |    294.52 |
|    87.5 |   101.073 |   149.888 |   294.602 |
|    87.6 |   101.073 |   149.929 |   294.684 |
|    87.7 |   101.073 |    149.97 |   294.766 |
|    87.8 |   101.072 |   150.011 |   294.847 |
|    87.9 |   101.072 |   150.052 |   294.929 |
|      88 |   101.072 |   150.093 |   295.011 |
|    88.1 |   101.072 |   150.134 |   295.093 |
|    88.2 |   101.071 |   150.174 |   295.174 |
|    88.3 |   101.071 |   150.215 |   295.256 |
|    88.4 |   101.071 |   150.256 |   295.338 |
|    88.5 |   101.071 |   150.297 |   295.419 |
|    88.6 |    101.07 |   150.337 |   295.501 |
|    88.7 |    101.07 |   150.378 |   295.582 |
|    88.8 |    101.07 |   150.419 |   295.663 |
|    88.9 |    101.07 |   150.459 |   295.745 |
|      89 |   101.069 |     150.5 |   295.826 |
|    89.1 |   101.069 |    150.54 |   295.907 |
|    89.2 |   101.069 |   150.581 |   295.988 |
|    89.3 |   101.069 |   150.621 |   296.069 |
|    89.4 |   101.068 |   150.662 |    296.15 |
|    89.5 |   101.068 |   150.702 |   296.231 |
|    89.6 |   101.068 |   150.742 |   296.312 |
|    89.7 |   101.068 |   150.783 |   296.393 |
|    89.8 |   101.067 |   150.823 |   296.474 |
|    89.9 |   101.067 |   150.864 |   296.555 |
|      90 |   101.067 |   150.904 |   296.635 |
|    90.1 |   101.067 |   150.944 |   296.716 |
|    90.2 |   101.066 |   150.984 |   296.796 |
|    90.3 |   101.066 |   151.025 |   296.877 |
|    90.4 |   101.066 |   151.065 |   296.957 |
|    90.5 |   101.066 |   151.105 |   297.038 |
|    90.6 |   101.065 |   151.145 |   297.118 |
|    90.7 |   101.065 |   151.185 |   297.199 |
|    90.8 |   101.065 |   151.225 |   297.279 |
|    90.9 |   101.065 |   151.265 |   297.359 |
|      91 |   101.064 |   151.305 |   297.439 |
|    91.1 |   101.064 |   151.345 |   297.519 |
|    91.2 |   101.064 |   151.385 |   297.599 |
|    91.3 |   101.064 |   151.425 |   297.679 |
|    91.4 |   101.063 |   151.465 |   297.759 |
|    91.5 |   101.063 |   151.505 |   297.839 |
|    91.6 |   101.063 |   151.545 |   297.919 |
|    91.7 |   101.063 |   151.585 |   297.999 |
|    91.8 |   101.062 |   151.624 |   298.079 |
|    91.9 |   101.062 |   151.664 |   298.158 |
|      92 |   101.062 |   151.704 |   298.238 |
|    92.1 |   101.062 |   151.744 |   298.317 |
|    92.2 |   101.061 |   151.783 |   298.397 |
|    92.3 |   101.061 |   151.823 |   298.476 |
|    92.4 |   101.061 |   151.863 |   298.556 |
|    92.5 |   101.061 |   151.902 |   298.635 |
|    92.6 |    101.06 |   151.942 |   298.714 |
|    92.7 |    101.06 |   151.982 |   298.794 |
|    92.8 |    101.06 |   152.021 |   298.873 |
|    92.9 |    101.06 |   152.061 |   298.952 |
|      93 |   101.059 |     152.1 |   299.031 |
|    93.1 |   101.059 |    152.14 |    299.11 |
|    93.2 |   101.059 |   152.179 |   299.189 |
|    93.3 |   101.059 |   152.218 |   299.268 |
|    93.4 |   101.059 |   152.258 |   299.347 |
|    93.5 |   101.058 |   152.297 |   299.426 |
|    93.6 |   101.058 |   152.337 |   299.505 |
